doc_id,doi,title,lib,class_name,chunk_count
doc_0081,10.1002/ange.201910662,10.1002/ange.201910662,lib1,classA,70
doc_0082,10.1002/ange.201911550,10.1002/ange.201911550,lib1,classA,32
doc_0083,10.1002/ange.201912348,10.1002/ange.201912348,lib1,classA,62
doc_0084,10.1002/ange.202005274,10.1002/ange.202005274,lib1,classA,48
doc_0085,10.1002/ange.202006847,10.1002/ange.202006847,lib1,classA,71
doc_0086,10.1002/ange.202011836,10.1002/ange.202011836,lib1,classA,46
doc_0087,10.1002/ange.202016332,10.1002/ange.202016332,lib1,classA,40
doc_0088,10.1002/ange.202101818,10.1002/ange.202101818,lib1,classA,117
doc_0089,10.1002/ange.202108902,10.1002/ange.202108902,lib1,classA,47
doc_0090,10.1002/cssc.201200564,10.1002/cssc.201200564,lib1,classA,72
doc_0091,10.1002/cssc.201501591,10.1002/cssc.201501591,lib1,classA,75
doc_0092,10.1002/cssc.201600165,10.1002/cssc.201600165,lib1,classA,78
doc_0093,10.1002/cssc.201600394,10.1002/cssc.201600394,lib1,classA,108
doc_0094,10.1002/cssc.201701825,10.1002/cssc.201701825,lib1,classA,96
doc_0095,10.1002/cssc.201702262,10.1002/cssc.201702262,lib1,classA,72
doc_0096,10.1002/cssc.201902833,10.1002/cssc.201902833,lib1,classA,76
doc_0097,10.1002/cssc.202002904,10.1002/cssc.202002904,lib1,classA,98
doc_0098,10.1016/j.apcatb.2004.01.023,10.1016/j.apcatb.2004.01.023,lib1,classA,75
doc_0099,10.1016/j.apcatb.2007.12.005,10.1016/j.apcatb.2007.12.005,lib1,classA,74
doc_0100,10.1016/j.apcatb.2011.11.003,10.1016/j.apcatb.2011.11.003,lib1,classA,86
doc_0101,10.1016/j.apcatb.2011.11.029,10.1016/j.apcatb.2011.11.029,lib1,classA,69
doc_0102,10.1016/j.apcatb.2012.06.006,10.1016/j.apcatb.2012.06.006,lib1,classA,96
doc_0103,10.1016/j.apcatb.2012.11.020,10.1016/j.apcatb.2012.11.020,lib1,classA,93
doc_0104,10.1016/j.apcatb.2015.05.012,10.1016/j.apcatb.2015.05.012,lib1,classA,62
doc_0105,10.1016/j.apcatb.2016.08.021,10.1016/j.apcatb.2016.08.021,lib1,classA,111
doc_0106,10.1016/j.apcatb.2017.03.018,10.1016/j.apcatb.2017.03.018,lib1,classA,47
doc_0107,10.1016/j.apcatb.2018.02.017,10.1016/j.apcatb.2018.02.017,lib1,classA,66
doc_0108,10.1016/j.apcatb.2018.04.060,10.1016/j.apcatb.2018.04.060,lib1,classA,82
doc_0109,10.1016/j.apcatb.2018.10.021,10.1016/j.apcatb.2018.10.021,lib1,classA,90
doc_0110,10.1016/j.apcatb.2018.11.037,10.1016/j.apcatb.2018.11.037,lib1,classA,60
doc_0111,10.1016/j.apcatb.2019.02.013,10.1016/j.apcatb.2019.02.013,lib1,classA,74
doc_0112,10.1016/j.apcatb.2019.02.045,10.1016/j.apcatb.2019.02.045,lib1,classA,117
doc_0113,10.1016/j.apcatb.2019.117950,10.1016/j.apcatb.2019.117950,lib1,classA,77
doc_0114,10.1016/j.apcatb.2020.118747,10.1016/j.apcatb.2020.118747,lib1,classA,105
doc_0115,10.1016/j.apcatb.2020.119738,10.1016/j.apcatb.2020.119738,lib1,classA,85
doc_0116,10.1016/j.apcatb.2020.119787,10.1016/j.apcatb.2020.119787,lib1,classA,13
doc_0117,10.1016/j.apcatb.2021.120030,10.1016/j.apcatb.2021.120030,lib1,classA,66
doc_0118,10.1016/j.apcatb.2021.120073,10.1016/j.apcatb.2021.120073,lib1,classA,145
doc_0119,10.1016/j.apcatb.2021.120147,10.1016/j.apcatb.2021.120147,lib1,classA,96
doc_0120,10.1016/j.apcatb.2021.120162,10.1016/j.apcatb.2021.120162,lib1,classA,168
doc_0121,10.1016/j.apcatb.2021.120386,10.1016/j.apcatb.2021.120386,lib1,classA,73
doc_0122,10.1016/j.apcatb.2021.120390,10.1016/j.apcatb.2021.120390,lib1,classA,80
doc_0123,10.1016/j.checat.2021.01.003,10.1016/j.checat.2021.01.003,lib1,classA,113
doc_0124,10.1016/j.chempr.2017.08.002,10.1016/j.chempr.2017.08.002,lib1,classA,91
doc_0125,10.1016/j.chempr.2017.09.009,10.1016/j.chempr.2017.09.009,lib1,classA,179
doc_0126,10.1016/j.chempr.2018.05.001,10.1016/j.chempr.2018.05.001,lib1,classA,129
doc_0127,10.1016/j.chempr.2018.05.019,10.1016/j.chempr.2018.05.019,lib1,classA,177
doc_0128,10.1016/j.chempr.2018.08.019,10.1016/j.chempr.2018.08.019,lib1,classA,99
doc_0129,10.1016/j.chempr.2019.04.006,10.1016/j.chempr.2019.04.006,lib1,classA,124
doc_0130,10.1016/j.chempr.2019.06.019,10.1016/j.chempr.2019.06.019,lib1,classA,97
doc_0131,10.1016/j.chempr.2020.01.005,10.1016/j.chempr.2020.01.005,lib1,classA,123
doc_0132,10.1016/j.chempr.2020.08.026,10.1016/j.chempr.2020.08.026,lib1,classA,124
doc_0133,10.1016/j.chempr.2021.01.007,10.1016/j.chempr.2021.01.007,lib1,classA,119
doc_0134,10.1016/j.joule.2017.09.014,10.1016/j.joule.2017.09.014,lib1,classA,100
doc_0135,10.1016/j.joule.2018.01.014,10.1016/j.joule.2018.01.014,lib1,classA,257
doc_0136,10.1016/j.joule.2018.06.019,10.1016/j.joule.2018.06.019,lib1,classA,99
doc_0137,10.1016/j.joule.2018.09.021,10.1016/j.joule.2018.09.021,lib1,classA,208
doc_0138,10.1016/j.joule.2018.10.021,10.1016/j.joule.2018.10.021,lib1,classA,22
doc_0139,10.1016/j.joule.2018.11.008,10.1016/j.joule.2018.11.008,lib1,classA,82
doc_0140,10.1016/j.joule.2019.05.007,10.1016/j.joule.2019.05.007,lib1,classA,123
doc_0141,10.1016/j.joule.2019.05.010,10.1016/j.joule.2019.05.010,lib1,classA,133
doc_0142,10.1016/j.joule.2019.05.017,10.1016/j.joule.2019.05.017,lib1,classA,44
doc_0143,10.1016/j.joule.2019.05.021,10.1016/j.joule.2019.05.021,lib1,classA,92
doc_0144,10.1016/j.joule.2019.07.009,10.1016/j.joule.2019.07.009,lib1,classA,89
doc_0145,10.1016/j.joule.2019.07.021,10.1016/j.joule.2019.07.021,lib1,classA,127
doc_0146,10.1016/j.joule.2019.09.012,10.1016/j.joule.2019.09.012,lib1,classA,14
doc_0147,10.1016/j.joule.2019.11.014,10.1016/j.joule.2019.11.014,lib1,classA,121
doc_0148,10.1016/j.joule.2020.04.012,10.1016/j.joule.2020.04.012,lib1,classA,16
doc_0149,10.1016/j.joule.2020.07.009,10.1016/j.joule.2020.07.009,lib1,classA,106
doc_0150,10.1016/j.joule.2020.12.004,10.1016/j.joule.2020.12.004,lib1,classA,10
doc_0151,10.1016/j.joule.2021.02.005,10.1016/j.joule.2021.02.005,lib1,classA,38
doc_0152,10.1016/j.joule.2023.03.005,10.1016/j.joule.2023.03.005,lib1,classA,90
doc_0153,10.1016/j.nanoen.2014.05.019,10.1016/j.nanoen.2014.05.019,lib1,classA,70
doc_0154,10.1016/j.nanoen.2017.03.032,10.1016/j.nanoen.2017.03.032,lib1,classA,50
doc_0155,10.1016/j.nanoen.2018.10.005,10.1016/j.nanoen.2018.10.005,lib1,classA,49
doc_0156,10.1016/j.nanoen.2019.01.011,10.1016/j.nanoen.2019.01.011,lib1,classA,47
doc_0157,10.1016/j.nanoen.2019.06.030,10.1016/j.nanoen.2019.06.030,lib1,classA,67
doc_0158,10.1016/j.nanoen.2020.105125,10.1016/j.nanoen.2020.105125,lib1,classA,61
doc_0159,10.1021/acs.chemrev.0c00594,10.1021/acs.chemrev.0c00594,lib1,classA,64
doc_0160,10.1021/acs.chemrev.5b00197,10.1021/acs.chemrev.5b00197,lib1,classA,307
doc_0161,10.1021/acs.chemrev.6b00816,10.1021/acs.chemrev.6b00816,lib1,classA,10
doc_0162,10.1021/acs.chemrev.7b00459,10.1021/acs.chemrev.7b00459,lib1,classA,13
doc_0163,10.1021/acs.chemrev.8b00481,10.1021/acs.chemrev.8b00481,lib1,classA,32
doc_0164,10.1021/acs.chemrev.8b00705,10.1021/acs.chemrev.8b00705,lib1,classA,21
doc_0165,10.1021/acs.nanolett.0c00639,10.1021/acs.nanolett.0c00639,lib1,classA,89
doc_0166,10.1021/acs.nanolett.5b03298,10.1021/acs.nanolett.5b03298,lib1,classA,83
doc_0167,10.1021/acs.nanolett.5b04123,10.1021/acs.nanolett.5b04123,lib1,classA,45
doc_0168,10.1021/acs.nanolett.6b03615,10.1021/acs.nanolett.6b03615,lib1,classA,62
doc_0169,10.1021/acs.nanolett.6b05287,10.1021/acs.nanolett.6b05287,lib1,classA,60
doc_0170,10.1021/acs.nanolett.7b01139,10.1021/acs.nanolett.7b01139,lib1,classA,72
doc_0171,10.1021/acs.nanolett.7b05410,10.1021/acs.nanolett.7b05410,lib1,classA,73
doc_0172,10.1021/acs.nanolett.8b02606,10.1021/acs.nanolett.8b02606,lib1,classA,92
doc_0173,10.1021/acs.nanolett.9b04564,10.1021/acs.nanolett.9b04564,lib1,classA,84
doc_0174,10.1021/acscatal.0c00049,10.1021/acscatal.0c00049,lib1,classA,78
doc_0175,10.1021/acscatal.0c00243,10.1021/acscatal.0c00243,lib1,classA,96
doc_0176,10.1021/acscatal.0c00478,10.1021/acscatal.0c00478,lib1,classA,284
doc_0177,10.1021/acscatal.0c00749,10.1021/acscatal.0c00749,lib1,classA,122
doc_0178,10.1021/acscatal.0c00936,10.1021/acscatal.0c00936,lib1,classA,97
doc_0179,10.1021/acscatal.0c01184,10.1021/acscatal.0c01184,lib1,classA,141
doc_0180,10.1021/acscatal.0c01388,10.1021/acscatal.0c01388,lib1,classA,46
doc_0181,10.1021/acscatal.0c01417,10.1021/acscatal.0c01417,lib1,classA,204
doc_0182,10.1021/acscatal.0c01670,10.1021/acscatal.0c01670,lib1,classA,149
doc_0183,10.1021/acscatal.0c01880,10.1021/acscatal.0c01880,lib1,classA,73
doc_0184,10.1021/acscatal.0c02325,10.1021/acscatal.0c02325,lib1,classA,144
doc_0185,10.1021/acscatal.0c02387,10.1021/acscatal.0c02387,lib1,classA,73
doc_0186,10.1021/acscatal.0c02557,10.1021/acscatal.0c02557,lib1,classA,202
doc_0187,10.1021/acscatal.0c03108,10.1021/acscatal.0c03108,lib1,classA,98
doc_0188,10.1021/acscatal.0c03319,10.1021/acscatal.0c03319,lib1,classA,102
doc_0189,10.1021/acscatal.0c03414,10.1021/acscatal.0c03414,lib1,classA,68
doc_0190,10.1021/acscatal.0c03553,10.1021/acscatal.0c03553,lib1,classA,60
doc_0191,10.1021/acscatal.0c03609,10.1021/acscatal.0c03609,lib1,classA,111
doc_0192,10.1021/acscatal.0c03998,10.1021/acscatal.0c03998,lib1,classA,83
doc_0193,10.1021/acscatal.0c04714,10.1021/acscatal.0c04714,lib1,classA,192
doc_0194,10.1021/acscatal.0c04862,10.1021/acscatal.0c04862,lib1,classA,86
